Activity,DietPreference,SleepHours,Age,RecommendedDiet
High,Vegan,8.0,22,High Protein
Medium,Vegan,6.8,27,Balanced
Low,Veg,6.8,27,Balanced
Low,Vegan,7.7,26,Balanced
Medium,Non-Veg,6.5,38,Mediterranean
Low,Vegan,7.1,30,Balanced
High,Vegan,7.4,27,High Protein
High,Veg,8.2,55,Balanced
Low,Non-Veg,8.1,28,Low Carb
High,Vegan,7.4,21,High Protein
Low,Veg,4.0,63,Balanced
Medium,Vegan,7.4,48,Balanced
Low,Non-Veg,7.6,66,Low Carb
Medium,Vegan,7.9,69,Balanced
High,Vegan,5.6,51,High Protein
Medium,Veg,4.0,59,Balanced
High,Vegan,8.2,52,High Protein
Low,Veg,5.2,56,Balanced
High,Non-Veg,8.8,56,Balanced
Low,Vegan,6.1,50,Balanced
Low,Non-Veg,5.5,25,Low Carb
Medium,Non-Veg,7.5,49,Mediterranean
Medium,Vegan,7.9,50,Balanced
Medium,Veg,7.8,25,Balanced
Medium,Non-Veg,7.8,63,Mediterranean
High,Non-Veg,5.9,31,Balanced
High,Vegan,4.7,51,High Protein
High,Vegan,6.4,25,High Protein
Low,Vegan,5.3,68,Balanced
High,Vegan,7.6,59,High Protein
High,Vegan,8.3,24,High Protein
High,Vegan,7.3,30,High Protein
Medium,Veg,7.0,38,Balanced
High,Non-Veg,6.5,64,Balanced
Low,Veg,8.5,49,Balanced
Medium,Veg,4.3,28,Balanced
Low,Vegan,5.2,31,Balanced
High,Non-Veg,9.7,28,Balanced
Medium,Veg,5.1,19,Balanced
Low,Vegan,7.8,51,Balanced
High,Vegan,8.1,61,High Protein
Low,Non-Veg,4.1,64,Low Carb
Low,Veg,4.4,34,Balanced
Low,Veg,8.9,31,Balanced
High,Veg,5.5,42,Balanced
High,Vegan,5.6,65,High Protein
Low,Non-Veg,6.2,44,Low Carb
Medium,Non-Veg,5.5,25,Mediterranean
Medium,Veg,7.8,34,Balanced
High,Vegan,5.2,22,High Protein
High,Veg,4.1,29,Balanced
High,Non-Veg,8.7,55,Balanced
High,Vegan,5.3,35,High Protein
High,Veg,5.9,43,Balanced
Medium,Veg,8.2,48,Balanced
High,Vegan,7.1,54,High Protein
Low,Non-Veg,8.7,23,Low Carb
Low,Vegan,8.3,58,Balanced
Medium,Veg,6.3,32,Balanced
Low,Veg,8.5,59,Balanced
Medium,Veg,7.3,66,Balanced
Medium,Veg,6.1,43,Balanced
Low,Non-Veg,7.4,68,Low Carb
High,Non-Veg,5.0,29,Balanced
Low,Veg,8.3,58,Balanced
Low,Non-Veg,8.1,64,Low Carb
Medium,Non-Veg,7.2,31,Mediterranean
Low,Non-Veg,4.1,18,Low Carb
Medium,Veg,8.7,34,Balanced
High,Vegan,7.7,50,High Protein
High,Vegan,7.0,46,High Protein
High,Vegan,6.7,62,High Protein
Low,Veg,6.2,48,Balanced
Medium,Non-Veg,6.5,25,Mediterranean
High,Non-Veg,8.2,47,Balanced
Medium,Veg,6.2,30,Balanced
Medium,Veg,6.6,33,Balanced
High,Vegan,6.8,19,High Protein
High,Vegan,6.8,62,High Protein
Medium,Veg,6.1,35,Balanced
High,Vegan,6.7,52,High Protein
Medium,Non-Veg,7.5,62,Mediterranean
Medium,Veg,5.6,36,Balanced
High,Veg,6.8,30,Balanced
Low,Non-Veg,9.9,68,Low Carb
High,Non-Veg,6.9,21,Balanced
Low,Non-Veg,5.6,36,Low Carb
Medium,Vegan,5.4,67,Balanced
Medium,Veg,5.1,42,Balanced
Low,Vegan,9.4,55,Balanced
Medium,Non-Veg,8.5,68,Mediterranean
Low,Vegan,5.1,48,Balanced
Low,Non-Veg,7.3,53,Low Carb
Medium,Vegan,8.8,21,Balanced
Low,Vegan,6.9,56,Balanced
High,Non-Veg,6.3,24,Balanced
High,Vegan,10.0,33,High Protein
Medium,Veg,4.1,65,Balanced
Medium,Vegan,10.0,22,Balanced
Low,Vegan,7.1,64,Balanced
Low,Veg,8.9,40,Balanced
Low,Non-Veg,5.2,53,Low Carb
Low,Veg,5.9,49,Balanced
High,Vegan,5.4,41,High Protein
High,Non-Veg,6.8,42,Balanced
Medium,Vegan,7.5,62,Balanced
Low,Vegan,8.6,45,Balanced
Low,Veg,4.4,36,Balanced
Medium,Veg,7.2,24,Balanced
Low,Non-Veg,8.3,61,Low Carb
Low,Non-Veg,8.6,58,Low Carb
Low,Non-Veg,6.3,34,Low Carb
Low,Vegan,6.4,19,Balanced
Low,Veg,6.9,33,Balanced
Medium,Veg,7.3,56,Balanced
Low,Veg,9.0,35,Balanced
Medium,Non-Veg,5.2,56,Mediterranean
Low,Veg,5.8,18,Balanced
High,Veg,5.0,20,Balanced
High,Veg,7.6,38,Balanced
High,Non-Veg,8.7,47,Balanced
High,Veg,4.9,28,Balanced
Medium,Non-Veg,7.1,39,Mediterranean
Medium,Veg,8.5,64,Balanced
Low,Veg,8.2,42,Balanced
High,Veg,8.2,20,Balanced
Medium,Non-Veg,5.2,47,Mediterranean
Low,Non-Veg,8.2,41,Low Carb
Low,Veg,6.7,62,Balanced
Medium,Vegan,8.6,53,Balanced
High,Non-Veg,7.7,40,Balanced
Low,Non-Veg,5.8,25,Low Carb
High,Veg,7.4,21,Balanced
High,Vegan,8.2,67,High Protein
High,Veg,6.2,56,Balanced
Low,Non-Veg,7.2,60,Low Carb
High,Non-Veg,5.0,48,Balanced
Low,Veg,7.8,46,Balanced
High,Veg,6.9,53,Balanced
Low,Vegan,8.4,30,Balanced
High,Vegan,7.8,58,High Protein
Medium,Non-Veg,6.4,26,Mediterranean
High,Vegan,5.7,38,High Protein
High,Vegan,5.4,68,High Protein
Low,Non-Veg,6.2,20,Low Carb
Low,Non-Veg,8.3,42,Low Carb
High,Non-Veg,4.4,42,Balanced
Medium,Non-Veg,5.4,29,Mediterranean
Medium,Veg,8.3,46,Balanced
Low,Non-Veg,9.0,28,Low Carb
Medium,Non-Veg,5.5,69,Mediterranean
High,Non-Veg,5.4,28,Balanced
Low,Vegan,9.1,66,Balanced
High,Non-Veg,6.8,43,Balanced
Low,Veg,5.7,31,Balanced
Low,Veg,8.6,33,Balanced
Low,Non-Veg,7.8,27,Low Carb
Low,Veg,8.1,48,Balanced
Medium,Vegan,5.7,48,Balanced
High,Non-Veg,7.6,53,Balanced
High,Veg,8.9,27,Balanced
High,Veg,8.0,43,Balanced
Low,Non-Veg,8.4,37,Low Carb
Medium,Veg,9.1,61,Balanced
High,Non-Veg,7.6,26,Balanced
Medium,Veg,6.2,32,Balanced
Low,Vegan,8.3,26,Balanced
High,Veg,5.3,24,Balanced
Medium,Veg,6.7,43,Balanced
Low,Non-Veg,7.9,41,Low Carb
Medium,Veg,4.0,29,Balanced
High,Non-Veg,7.4,37,Balanced
High,Vegan,7.4,31,High Protein
Low,Non-Veg,5.3,39,Low Carb
Low,Non-Veg,7.5,33,Low Carb
Low,Veg,7.3,46,Balanced
Medium,Vegan,7.1,49,Balanced
Medium,Non-Veg,8.8,36,Mediterranean
Medium,Veg,8.3,52,Balanced
Low,Veg,8.0,60,Balanced
High,Non-Veg,5.5,49,Balanced
High,Veg,7.0,37,Balanced
Medium,Non-Veg,8.8,68,Mediterranean
Medium,Non-Veg,6.7,57,Mediterranean
High,Non-Veg,9.3,37,Balanced
High,Vegan,8.0,25,High Protein
Medium,Non-Veg,9.6,52,Mediterranean
Medium,Veg,5.4,59,Balanced
High,Vegan,6.8,30,High Protein
Low,Veg,6.9,58,Balanced
Medium,Vegan,7.9,23,Balanced
High,Vegan,5.9,64,High Protein
High,Vegan,4.6,33,High Protein
High,Vegan,7.6,22,High Protein
High,Veg,6.5,62,Balanced
Low,Non-Veg,6.3,68,Low Carb
High,Veg,6.0,51,Balanced
Medium,Non-Veg,7.2,23,Mediterranean
Low,Veg,5.4,50,Balanced
High,Vegan,6.7,32,High Protein
Low,Vegan,5.8,32,Balanced
Medium,Non-Veg,6.1,31,Mediterranean
High,Non-Veg,7.5,56,Balanced
Medium,Veg,8.0,22,Balanced
High,Non-Veg,6.5,69,Balanced
High,Veg,8.5,43,Balanced
High,Non-Veg,5.5,65,Balanced
High,Non-Veg,4.7,34,Balanced
High,Non-Veg,5.0,60,Balanced
Low,Vegan,5.4,64,Balanced
High,Vegan,5.0,69,High Protein
High,Veg,10.0,33,Balanced
Low,Non-Veg,4.7,52,Low Carb
Low,Veg,8.4,55,Balanced
Low,Non-Veg,7.0,40,Low Carb
Low,Vegan,7.3,30,Balanced
Low,Vegan,5.6,50,Balanced
Low,Non-Veg,7.5,46,Low Carb
High,Non-Veg,5.6,63,Balanced
High,Vegan,8.4,51,High Protein
Medium,Vegan,8.5,51,Balanced
High,Veg,6.8,44,Balanced
High,Vegan,6.9,32,High Protein
Low,Non-Veg,7.6,67,Low Carb
Low,Veg,7.6,26,Balanced
High,Non-Veg,8.5,43,Balanced
Medium,Veg,8.5,20,Balanced
Low,Non-Veg,7.0,53,Low Carb
High,Vegan,6.3,64,High Protein
High,Non-Veg,8.2,22,Balanced
Medium,Veg,6.8,37,Balanced
Medium,Non-Veg,7.2,37,Mediterranean
Low,Veg,7.8,22,Balanced
Medium,Non-Veg,8.5,27,Mediterranean
High,Vegan,7.4,33,High Protein
High,Vegan,6.1,42,High Protein
Medium,Non-Veg,9.7,61,Mediterranean
Medium,Non-Veg,9.3,42,Mediterranean
Medium,Non-Veg,5.5,47,Mediterranean
Medium,Veg,5.6,31,Balanced
Low,Non-Veg,5.8,39,Low Carb
Medium,Non-Veg,8.3,60,Mediterranean
Low,Veg,9.8,45,Balanced
High,Vegan,6.2,47,High Protein
Medium,Non-Veg,7.3,36,Mediterranean
Low,Non-Veg,5.9,55,Low Carb
Medium,Vegan,9.6,59,Balanced
High,Vegan,8.2,37,High Protein
High,Veg,5.8,52,Balanced
High,Non-Veg,4.0,39,Balanced
Medium,Non-Veg,8.6,32,Mediterranean
Medium,Veg,6.1,28,Balanced
Low,Vegan,8.3,51,Balanced
High,Veg,7.4,41,Balanced
Medium,Vegan,4.2,23,Balanced
High,Veg,5.8,34,Balanced
High,Vegan,6.5,45,High Protein
Low,Veg,6.0,67,Balanced
Low,Vegan,7.2,48,Balanced
Low,Vegan,7.6,53,Balanced
Low,Vegan,9.7,26,Balanced
High,Vegan,7.7,27,High Protein
Low,Vegan,9.2,38,Balanced
Low,Non-Veg,6.3,51,Low Carb
Low,Vegan,8.7,48,Balanced
Low,Non-Veg,6.4,46,Low Carb
High,Vegan,5.6,60,High Protein
Low,Non-Veg,5.6,60,Low Carb
High,Non-Veg,4.0,28,Balanced
Medium,Veg,8.3,50,Balanced
High,Vegan,5.1,63,High Protein
High,Veg,9.1,18,Balanced
Low,Veg,6.7,38,Balanced
Medium,Vegan,4.7,40,Balanced
Medium,Veg,5.3,26,Balanced
Medium,Vegan,7.3,18,Balanced
Medium,Veg,4.2,38,Balanced
High,Vegan,7.9,39,High Protein
Medium,Vegan,4.7,21,Balanced
High,Vegan,5.9,18,High Protein
High,Non-Veg,7.3,68,Balanced
High,Veg,7.7,27,Balanced
Medium,Non-Veg,8.2,32,Mediterranean
Low,Veg,5.0,69,Balanced
Low,Veg,6.5,53,Balanced
Medium,Veg,8.6,46,Balanced
Low,Non-Veg,6.5,69,Low Carb
Low,Veg,7.4,63,Balanced
High,Non-Veg,7.2,22,Balanced
High,Vegan,9.0,46,High Protein
Medium,Veg,6.3,64,Balanced
Medium,Veg,4.9,64,Balanced
Low,Vegan,5.5,44,Balanced
High,Vegan,7.3,42,High Protein
Medium,Veg,4.6,33,Balanced
Medium,Vegan,6.2,33,Balanced
Medium,Non-Veg,7.1,53,Mediterranean
Medium,Non-Veg,5.9,42,Mediterranean
Medium,Veg,7.5,58,Balanced
Medium,Non-Veg,8.1,18,Mediterranean
Low,Non-Veg,7.7,22,Low Carb
High,Veg,4.7,58,Balanced
High,Vegan,7.1,37,High Protein
Medium,Veg,7.2,22,Balanced
High,Non-Veg,6.4,53,Balanced
High,Veg,7.5,46,Balanced
High,Veg,7.4,65,Balanced
Medium,Non-Veg,6.9,51,Mediterranean
Medium,Non-Veg,5.5,65,Mediterranean
High,Veg,7.0,35,Balanced
High,Non-Veg,9.8,19,Balanced
Medium,Non-Veg,6.4,33,Mediterranean
Low,Non-Veg,8.6,46,Low Carb
High,Non-Veg,7.1,50,Balanced
Low,Non-Veg,5.8,33,Low Carb
High,Non-Veg,6.6,52,Balanced
Low,Vegan,7.0,64,Balanced
Low,Veg,8.0,60,Balanced
Low,Non-Veg,10.0,59,Low Carb
Medium,Veg,7.1,34,Balanced
Low,Vegan,5.2,21,Balanced
Low,Non-Veg,4.5,66,Low Carb
Low,Veg,6.4,21,Balanced
High,Non-Veg,5.3,68,Balanced
Low,Non-Veg,7.8,42,Low Carb
High,Non-Veg,7.8,50,Balanced
Low,Non-Veg,6.8,31,Low Carb
Low,Non-Veg,8.0,41,Low Carb
Medium,Non-Veg,7.1,28,Mediterranean
High,Non-Veg,9.8,42,Balanced
Low,Vegan,7.9,45,Balanced
High,Vegan,8.3,24,High Protein
High,Non-Veg,4.8,66,Balanced
Medium,Non-Veg,5.2,53,Mediterranean
Medium,Vegan,7.7,27,Balanced
Medium,Vegan,4.7,66,Balanced
Medium,Vegan,6.1,53,Balanced
Medium,Non-Veg,8.8,48,Mediterranean
Medium,Veg,6.0,36,Balanced
Medium,Veg,5.2,35,Balanced
Medium,Veg,8.0,66,Balanced
Low,Veg,10.0,23,Balanced
High,Non-Veg,5.8,45,Balanced
Medium,Veg,8.8,24,Balanced
Medium,Vegan,5.6,55,Balanced
High,Vegan,6.8,29,High Protein
Low,Veg,6.9,58,Balanced
High,Vegan,5.8,67,High Protein
High,Non-Veg,8.3,51,Balanced
Medium,Veg,4.7,42,Balanced
High,Veg,7.3,34,Balanced
High,Non-Veg,8.6,50,Balanced
Medium,Vegan,8.2,40,Balanced
Medium,Non-Veg,7.7,26,Mediterranean
Medium,Non-Veg,9.4,23,Mediterranean
Medium,Vegan,6.7,19,Balanced
High,Non-Veg,4.7,55,Balanced
High,Vegan,7.2,26,High Protein
Low,Vegan,6.8,20,Balanced
Low,Non-Veg,4.0,33,Low Carb
High,Vegan,5.3,42,High Protein
Low,Non-Veg,5.1,41,Low Carb
High,Vegan,5.8,64,High Protein
Low,Veg,6.5,46,Balanced
Medium,Vegan,6.5,61,Balanced
Low,Vegan,5.8,57,Balanced
Medium,Non-Veg,5.1,43,Mediterranean
Medium,Vegan,7.6,55,Balanced
Medium,Veg,7.2,52,Balanced
Medium,Veg,7.2,40,Balanced
Low,Vegan,9.7,21,Balanced
High,Vegan,7.2,59,High Protein
Medium,Veg,6.5,31,Balanced
Low,Non-Veg,6.8,64,Low Carb
Medium,Veg,7.1,56,Balanced
Low,Veg,7.9,24,Balanced
Low,Vegan,6.9,25,Balanced
Low,Vegan,4.1,59,Balanced
High,Veg,6.3,68,Balanced
Low,Non-Veg,7.0,36,Low Carb
Low,Veg,9.0,19,Balanced
High,Veg,5.8,64,Balanced
High,Non-Veg,4.5,18,Balanced
Low,Veg,7.1,59,Balanced
High,Veg,8.3,55,Balanced
Medium,Vegan,6.4,30,Balanced
Medium,Non-Veg,10.0,59,Mediterranean
High,Vegan,10.0,61,High Protein
High,Vegan,6.9,41,High Protein
Low,Non-Veg,7.3,49,Low Carb
High,Non-Veg,9.1,47,Balanced
Low,Veg,6.9,23,Balanced
Medium,Vegan,5.8,55,Balanced
High,Non-Veg,8.3,50,Balanced
Low,Vegan,7.7,61,Balanced
Low,Vegan,5.8,40,Balanced
Medium,Non-Veg,7.4,27,Mediterranean
High,Veg,6.8,63,Balanced
Medium,Vegan,6.4,32,Balanced
Low,Non-Veg,5.8,40,Low Carb
Low,Veg,7.2,53,Balanced
High,Vegan,6.6,18,High Protein
Low,Non-Veg,7.4,25,Low Carb
High,Vegan,8.2,20,High Protein
Medium,Non-Veg,7.3,31,Mediterranean
High,Non-Veg,7.4,34,Balanced
High,Vegan,6.2,51,High Protein
Low,Vegan,8.8,64,Balanced
Low,Non-Veg,5.7,23,Low Carb
High,Veg,4.6,22,Balanced
Low,Vegan,5.4,63,Balanced
Low,Non-Veg,8.6,68,Low Carb
Low,Non-Veg,7.7,58,Low Carb
High,Veg,9.0,57,Balanced
Low,Veg,5.0,46,Balanced
High,Veg,10.0,52,Balanced
Low,Vegan,6.6,35,Balanced
Medium,Non-Veg,4.4,57,Mediterranean
Low,Non-Veg,10.0,65,Low Carb
Low,Non-Veg,5.0,47,Low Carb
High,Veg,6.4,32,Balanced
High,Non-Veg,6.7,32,Balanced
Low,Vegan,7.7,33,Balanced
Medium,Veg,5.8,50,Balanced
Low,Veg,8.6,27,Balanced
Low,Veg,8.1,36,Balanced
Medium,Veg,7.0,54,Balanced
High,Vegan,9.0,67,High Protein
Low,Non-Veg,6.9,20,Low Carb
High,Vegan,6.6,53,High Protein
High,Non-Veg,10.0,21,Balanced
Medium,Vegan,7.4,28,Balanced
Medium,Veg,5.5,58,Balanced
High,Veg,5.7,50,Balanced
Low,Vegan,7.0,45,Balanced
High,Vegan,4.0,49,High Protein
Low,Non-Veg,6.1,33,Low Carb
Low,Vegan,6.8,26,Balanced
Medium,Vegan,6.7,28,Balanced
Low,Non-Veg,5.1,23,Low Carb
Low,Non-Veg,6.3,66,Low Carb
High,Non-Veg,8.8,44,Balanced
Medium,Vegan,8.5,29,Balanced
Low,Non-Veg,7.1,39,Low Carb
Low,Veg,6.9,57,Balanced
Medium,Veg,6.8,65,Balanced
High,Veg,7.4,54,Balanced
Medium,Vegan,7.2,38,Balanced
Medium,Veg,7.5,50,Balanced
Low,Vegan,7.8,34,Balanced
Low,Vegan,5.2,46,Balanced
High,Veg,6.5,57,Balanced
Low,Non-Veg,7.3,27,Low Carb
Low,Vegan,5.6,35,Balanced
Medium,Veg,6.0,64,Balanced
Low,Vegan,6.7,69,Balanced
High,Non-Veg,6.7,30,Balanced
Medium,Non-Veg,7.3,44,Mediterranean
High,Veg,5.7,27,Balanced
Medium,Vegan,8.5,49,Balanced
Low,Vegan,6.7,58,Balanced
Medium,Vegan,7.2,62,Balanced
Medium,Vegan,6.4,20,Balanced
Low,Veg,7.4,39,Balanced
Low,Non-Veg,9.5,44,Low Carb
High,Veg,6.4,20,Balanced
High,Vegan,6.2,50,High Protein
Low,Vegan,5.8,19,Balanced
Low,Non-Veg,6.9,28,Low Carb
Low,Vegan,6.9,63,Balanced
Medium,Veg,7.1,27,Balanced
Medium,Veg,7.7,56,Balanced
Medium,Non-Veg,7.5,50,Mediterranean
Low,Veg,7.0,24,Balanced
High,Veg,9.9,32,Balanced
Low,Veg,8.0,43,Balanced
Medium,Veg,5.4,28,Balanced
Medium,Vegan,4.7,55,Balanced
Low,Veg,6.0,44,Balanced
Low,Non-Veg,7.2,56,Low Carb
Medium,Non-Veg,5.8,24,Mediterranean
Medium,Veg,6.1,18,Balanced
Medium,Non-Veg,7.0,27,Mediterranean
Low,Veg,6.5,38,Balanced
Medium,Non-Veg,4.0,32,Mediterranean
Medium,Non-Veg,8.6,47,Mediterranean
High,Veg,8.3,47,Balanced
Low,Veg,5.1,25,Balanced
High,Vegan,7.1,41,High Protein
High,Veg,5.3,36,Balanced
Medium,Veg,6.1,20,Balanced
Low,Vegan,7.7,32,Balanced
Medium,Veg,8.2,53,Balanced
Low,Veg,8.2,23,Balanced
High,Vegan,7.4,59,High Protein
Low,Veg,8.9,67,Balanced
Medium,Veg,6.1,65,Balanced
Medium,Vegan,6.4,35,Balanced
Medium,Vegan,4.0,55,Balanced
Low,Non-Veg,6.9,36,Low Carb
High,Veg,7.9,66,Balanced
High,Non-Veg,7.4,67,Balanced
Low,Non-Veg,6.1,47,Low Carb
Medium,Vegan,8.3,30,Balanced
High,Veg,6.9,56,Balanced
Medium,Veg,8.1,69,Balanced
Low,Vegan,7.7,29,Balanced
Medium,Non-Veg,9.1,51,Mediterranean
High,Vegan,7.5,29,High Protein
High,Veg,7.9,61,Balanced
Medium,Vegan,6.9,41,Balanced
Low,Veg,6.2,21,Balanced
Medium,Non-Veg,7.7,53,Mediterranean
Low,Veg,9.3,67,Balanced
Medium,Non-Veg,6.1,65,Mediterranean
High,Non-Veg,6.6,31,Balanced
Low,Veg,7.0,34,Balanced
Low,Veg,8.0,66,Balanced
Low,Non-Veg,7.5,20,Low Carb
High,Vegan,8.4,55,High Protein
Medium,Veg,10.0,40,Balanced
High,Non-Veg,6.0,30,Balanced
Low,Non-Veg,7.9,26,Low Carb
Medium,Vegan,7.5,38,Balanced
High,Veg,7.0,58,Balanced
Low,Non-Veg,7.9,25,Low Carb
Low,Vegan,6.6,34,Balanced
High,Non-Veg,7.5,33,Balanced
High,Veg,5.0,33,Balanced
High,Vegan,6.2,45,High Protein
Low,Non-Veg,8.6,68,Low Carb
High,Vegan,8.5,33,High Protein
Low,Veg,7.4,63,Balanced
High,Vegan,6.3,69,High Protein
Low,Veg,8.2,63,Balanced
Low,Non-Veg,8.9,31,Low Carb
Medium,Veg,6.4,63,Balanced
High,Non-Veg,4.8,61,Balanced
High,Non-Veg,7.7,55,Balanced
Low,Veg,8.4,37,Balanced
Low,Non-Veg,7.9,62,Low Carb
Low,Vegan,9.3,65,Balanced
Medium,Non-Veg,9.4,58,Mediterranean
Medium,Veg,6.5,51,Balanced
Low,Vegan,7.3,46,Balanced
High,Vegan,6.3,20,High Protein
High,Non-Veg,5.5,27,Balanced
Medium,Non-Veg,5.6,37,Mediterranean
Medium,Veg,8.1,19,Balanced
Low,Vegan,7.5,44,Balanced
High,Veg,8.3,49,Balanced
Low,Non-Veg,10.0,27,Low Carb
Medium,Vegan,7.7,57,Balanced
High,Veg,5.8,34,Balanced
High,Veg,8.6,50,Balanced
Medium,Veg,5.8,23,Balanced
Low,Veg,9.6,56,Balanced
Low,Veg,4.0,64,Balanced
High,Vegan,6.2,35,High Protein
Medium,Veg,7.9,26,Balanced
High,Vegan,8.8,25,High Protein
Medium,Veg,6.0,42,Balanced
Low,Non-Veg,5.7,48,Low Carb
Medium,Non-Veg,7.2,59,Mediterranean
Low,Veg,9.9,21,Balanced
Medium,Non-Veg,4.7,37,Mediterranean
High,Vegan,6.5,45,High Protein
Low,Veg,7.4,57,Balanced
High,Vegan,5.8,18,High Protein
High,Veg,5.8,57,Balanced
Low,Non-Veg,6.6,61,Low Carb
Low,Vegan,7.4,40,Balanced
High,Non-Veg,6.7,64,Balanced
High,Non-Veg,9.2,30,Balanced
High,Veg,7.9,33,Balanced
High,Vegan,7.6,43,High Protein
Low,Non-Veg,8.5,48,Low Carb
Low,Veg,7.6,67,Balanced
High,Veg,6.3,18,Balanced
Medium,Veg,6.6,34,Balanced
Medium,Non-Veg,5.3,33,Mediterranean
Low,Veg,10.0,54,Balanced
High,Vegan,8.4,69,High Protein
High,Vegan,4.0,27,High Protein
Low,Non-Veg,9.0,55,Low Carb
Medium,Vegan,4.8,61,Balanced
Medium,Veg,7.8,48,Balanced
Medium,Non-Veg,4.0,27,Mediterranean
Low,Veg,6.4,66,Balanced
Medium,Non-Veg,9.0,51,Mediterranean
Low,Non-Veg,9.1,68,Low Carb
Low,Veg,7.5,69,Balanced
High,Vegan,8.2,23,High Protein
Medium,Vegan,4.9,45,Balanced
Low,Non-Veg,7.8,45,Low Carb
Medium,Veg,8.3,30,Balanced
Medium,Veg,10.0,58,Balanced
High,Non-Veg,6.1,29,Balanced
Medium,Vegan,7.0,67,Balanced
High,Veg,7.1,57,Balanced
Low,Vegan,8.0,67,Balanced
Medium,Vegan,8.3,19,Balanced
Low,Non-Veg,8.6,25,Low Carb
Medium,Non-Veg,8.5,59,Mediterranean
Low,Vegan,4.8,26,Balanced
Medium,Veg,4.0,67,Balanced
Medium,Veg,6.2,25,Balanced
Medium,Non-Veg,6.9,68,Mediterranean
Medium,Vegan,6.1,20,Balanced
Medium,Veg,6.3,26,Balanced
Medium,Veg,6.5,30,Balanced
Medium,Non-Veg,7.9,26,Mediterranean
Medium,Vegan,5.4,48,Balanced
Medium,Veg,6.9,42,Balanced
Low,Non-Veg,6.9,69,Low Carb
High,Veg,7.8,61,Balanced
Medium,Veg,8.7,62,Balanced
High,Veg,9.5,25,Balanced
Medium,Non-Veg,5.9,64,Mediterranean
Medium,Vegan,4.0,48,Balanced
Low,Non-Veg,6.6,62,Low Carb
Low,Vegan,4.6,62,Balanced
High,Veg,10.0,48,Balanced
Low,Vegan,5.7,34,Balanced
Low,Veg,7.8,64,Balanced
High,Veg,8.4,36,Balanced
Low,Non-Veg,7.5,20,Low Carb
Medium,Veg,10.0,63,Balanced
High,Non-Veg,6.7,47,Balanced
High,Vegan,5.7,27,High Protein
Medium,Vegan,5.7,66,Balanced
Low,Veg,8.1,46,Balanced
High,Non-Veg,6.7,57,Balanced
High,Veg,5.7,35,Balanced
Medium,Non-Veg,7.7,29,Mediterranean
Medium,Non-Veg,8.1,66,Mediterranean
Low,Non-Veg,7.4,40,Low Carb
High,Vegan,8.3,28,High Protein
Low,Non-Veg,7.1,26,Low Carb
Low,Vegan,6.1,41,Balanced
Medium,Non-Veg,8.2,42,Mediterranean
High,Vegan,5.7,42,High Protein
High,Vegan,5.3,64,High Protein
High,Vegan,8.7,26,High Protein
Medium,Veg,6.5,29,Balanced
Medium,Non-Veg,9.5,28,Mediterranean
Medium,Veg,8.3,66,Balanced
Medium,Non-Veg,6.4,55,Mediterranean
Medium,Non-Veg,7.7,45,Mediterranean
High,Veg,10.0,25,Balanced
Low,Vegan,8.1,27,Balanced
High,Non-Veg,7.9,42,Balanced
Low,Vegan,6.1,64,Balanced
Medium,Veg,9.8,53,Balanced
Low,Vegan,9.0,67,Balanced
High,Non-Veg,6.1,60,Balanced
High,Non-Veg,9.8,26,Balanced
Low,Non-Veg,7.2,58,Low Carb
Medium,Veg,5.7,25,Balanced
Medium,Non-Veg,6.1,20,Mediterranean
High,Veg,8.3,35,Balanced
Low,Vegan,5.7,63,Balanced
Medium,Non-Veg,5.3,52,Mediterranean
Medium,Non-Veg,6.3,34,Mediterranean
High,Non-Veg,6.6,53,Balanced
Medium,Vegan,6.0,45,Balanced
Low,Non-Veg,6.3,67,Low Carb
High,Veg,8.4,32,Balanced
High,Vegan,7.4,36,High Protein
Low,Vegan,6.2,39,Balanced
High,Vegan,6.4,23,High Protein
Medium,Vegan,6.8,64,Balanced
Medium,Vegan,6.9,24,Balanced
Low,Veg,6.9,61,Balanced
Medium,Vegan,8.3,65,Balanced
Low,Non-Veg,7.3,26,Low Carb
Low,Vegan,7.3,37,Balanced
Medium,Vegan,9.1,54,Balanced
Low,Vegan,9.8,28,Balanced
Medium,Vegan,5.2,19,Balanced
High,Vegan,4.6,39,High Protein
High,Veg,6.5,65,Balanced
Low,Veg,8.2,53,Balanced
Medium,Vegan,7.6,22,Balanced
Medium,Veg,8.6,24,Balanced
High,Non-Veg,6.4,23,Balanced
High,Vegan,4.1,39,High Protein
Medium,Non-Veg,4.9,27,Mediterranean
Low,Non-Veg,7.8,63,Low Carb
High,Vegan,8.6,57,High Protein
Low,Non-Veg,4.1,63,Low Carb
Low,Non-Veg,9.1,63,Low Carb
High,Non-Veg,7.7,37,Balanced
Low,Vegan,6.9,45,Balanced
Low,Vegan,6.1,40,Balanced
Medium,Non-Veg,9.4,52,Mediterranean
Low,Vegan,8.3,18,Balanced
Medium,Vegan,7.7,46,Balanced
High,Non-Veg,5.9,26,Balanced
High,Vegan,9.4,26,High Protein
Medium,Veg,7.0,39,Balanced
High,Vegan,7.4,19,High Protein
Low,Veg,7.1,33,Balanced
Low,Non-Veg,5.9,57,Low Carb
Low,Vegan,7.5,23,Balanced
High,Non-Veg,8.0,30,Balanced
Low,Non-Veg,6.3,50,Low Carb
High,Non-Veg,7.4,36,Balanced
Low,Non-Veg,7.1,32,Low Carb
